# Wavelength(AA)	FWHM(AA)
3600.0000 2.5100
3600.2500 2.5100
3600.5000 2.5100
3600.7500 2.5100
3601.0000 2.5100
3601.2500 2.5100
3601.5000 2.5100
3601.7500 2.5100
3602.0000 2.5100
3602.2500 2.5100
3602.5000 2.5100
3602.7500 2.5100
3603.0000 2.5100
3603.2500 2.5100
3603.5000 2.5100
3603.7500 2.5100
3604.0000 2.5100
3604.2500 2.5100
3604.5000 2.5100
3604.7500 2.5100
3605.0000 2.5100
3605.2500 2.5100
3605.5000 2.5100
3605.7500 2.5100
3606.0000 2.5100
3606.2500 2.5100
3606.5000 2.5100
3606.7500 2.5100
3607.0000 2.5100
3607.2500 2.5100
3607.5000 2.5100
3607.7500 2.5100
3608.0000 2.5100
3608.2500 2.5100
3608.5000 2.5100
3608.7500 2.5100
3609.0000 2.5100
3609.2500 2.5100
3609.5000 2.5100
3609.7500 2.5100
3610.0000 2.5100
3610.2500 2.5100
3610.5000 2.5100
3610.7500 2.5100
3611.0000 2.5100
3611.2500 2.5100
3611.5000 2.5100
3611.7500 2.5100
3612.0000 2.5100
3612.2500 2.5100
3612.5000 2.5100
3612.7500 2.5100
3613.0000 2.5100
3613.2500 2.5100
3613.5000 2.5100
3613.7500 2.5100
3614.0000 2.5100
3614.2500 2.5100
3614.5000 2.5100
3614.7500 2.5100
3615.0000 2.5100
3615.2500 2.5100
3615.5000 2.5100
3615.7500 2.5100
3616.0000 2.5100
3616.2500 2.5100
3616.5000 2.5100
3616.7500 2.5100
3617.0000 2.5100
3617.2500 2.5100
3617.5000 2.5100
3617.7500 2.5100
3618.0000 2.5100
3618.2500 2.5100
3618.5000 2.5100
3618.7500 2.5100
3619.0000 2.5100
3619.2500 2.5100
3619.5000 2.5100
3619.7500 2.5100
3620.0000 2.5100
3620.2500 2.5100
3620.5000 2.5100
3620.7500 2.5100
3621.0000 2.5100
3621.2500 2.5100
3621.5000 2.5100
3621.7500 2.5100
3622.0000 2.5100
3622.2500 2.5100
3622.5000 2.5100
3622.7500 2.5100
3623.0000 2.5100
