# Wavelength(AA)	FWHM(AA)
5825.0000 3.4456
5825.2500 3.4456
5825.5000 3.4456
5825.7500 3.4456
5826.0000 3.4456
5826.2500 3.4456
5826.5000 3.4456
5826.7500 3.4456
5827.0000 3.4456
5827.2500 3.4456
5827.5000 3.4456
5827.7500 3.4456
5828.0000 3.4456
5828.2500 3.4456
5828.5000 3.4456
5828.7500 3.4456
5829.0000 3.4456
5829.2500 3.4456
5829.5000 3.4456
5829.7500 3.4456
5830.0000 3.4456
5830.2500 3.4456
5830.5000 3.4456
5830.7500 3.4456
5831.0000 3.4456
5831.2500 3.4456
5831.5000 3.4456
5831.7500 3.4456
5832.0000 3.4456
5832.2500 3.4456
5832.5000 3.4456
5832.7500 3.4456
5833.0000 3.4456
5833.2500 3.4456
5833.5000 3.4456
5833.7500 3.4456
5834.0000 3.4456
5834.2500 3.4456
5834.5000 3.4456
5834.7500 3.4456
5835.0000 3.4456
5835.2500 3.4456
5835.5000 3.4456
5835.7500 3.4456
5836.0000 3.4456
5836.2500 3.4456
5836.5000 3.4456
5836.7500 3.4456
5837.0000 3.4456
5837.2500 3.4456
5837.5000 3.4456
5837.7500 3.4456
5838.0000 3.4456
5838.2500 3.4456
5838.5000 3.4456
5838.7500 3.4456
5839.0000 3.4456
5839.2500 3.4456
5839.5000 3.4456
5839.7500 3.4456
5840.0000 3.4456
5840.2500 3.4456
5840.5000 3.4456
5840.7500 3.4456
5841.0000 3.4456
5841.2500 3.4456
5841.5000 3.4456
5841.7500 3.4456
5842.0000 3.4456
5842.2500 3.4456
5842.5000 3.4456
5842.7500 3.4456
5843.0000 3.4456
5843.2500 3.4456
5843.5000 3.4456
5843.7500 3.4456
5844.0000 3.4456
5844.2500 3.4456
5844.5000 3.4456
5844.7500 3.4456
5845.0000 3.4456
5845.2500 3.4456
5845.5000 3.4456
5845.7500 3.4456
5846.0000 3.4456
5846.2500 3.4456
5846.5000 3.4456
5846.7500 3.4456
5847.0000 3.4456
5847.2500 3.4456
5847.5000 3.4456
5847.7500 3.4456
5848.0000 3.4456
5848.2500 3.4456
5848.5000 3.4456
5848.7500 3.4456
5849.0000 3.4456
5849.2500 3.4456
5849.5000 3.4456
5849.7500 3.4456
5850.0000 3.4456
5850.2500 3.4456
5850.5000 3.4456
5850.7500 3.4456
5851.0000 3.4456
5851.2500 3.4456
5851.5000 3.4456
5851.7500 3.4456
5852.0000 3.4456
5852.2500 3.4456
5852.5000 3.4456
5852.7500 3.4456
5853.0000 3.4456
5853.2500 3.4456
5853.5000 3.4456
5853.7500 3.4456
5854.0000 3.4456
5854.2500 3.4456
5854.5000 3.4456
5854.7500 3.4456
5855.0000 3.4456
5855.2500 3.4456
5855.5000 3.4456
5855.7500 3.4456
5856.0000 3.4456
5856.2500 3.4456
5856.5000 3.4456
5856.7500 3.4456
5857.0000 3.4456
5857.2500 3.4456
5857.5000 3.4456
5857.7500 3.4456
5858.0000 3.4456
5858.2500 3.4456
5858.5000 3.4456
5858.7500 3.4456
5859.0000 3.4456
5859.2500 3.4456
5859.5000 3.4456
5859.7500 3.4456
5860.0000 3.4456
5860.2500 3.4456
5860.5000 3.4456
5860.7500 3.4456
5861.0000 3.4456
5861.2500 3.4456
5861.5000 3.4456
5861.7500 3.4456
5862.0000 3.4456
5862.2500 3.4456
5862.5000 3.4456
5862.7500 3.4456
5863.0000 3.4456
5863.2500 3.4456
5863.5000 3.4456
5863.7500 3.4456
5864.0000 3.4456
5864.2500 3.4456
5864.5000 3.4456
5864.7500 3.4456
5865.0000 3.4456
5865.2500 3.4456
5865.5000 3.4456
5865.7500 3.4456
5866.0000 3.4456
5866.2500 3.4456
5866.5000 3.4456
5866.7500 3.4456
5867.0000 3.4456
5867.2500 3.4456
5867.5000 3.4456
5867.7500 3.4456
5868.0000 3.4456
5868.2500 3.4456
5868.5000 3.4456
5868.7500 3.4456
5869.0000 3.4456
5869.2500 3.4456
5869.5000 3.4456
5869.7500 3.4456
5870.0000 3.4456
5870.2500 3.4456
5870.5000 3.4456
5870.7500 3.4456
5871.0000 3.4456
5871.2500 3.4456
5871.5000 3.4456
5871.7500 3.4456
5872.0000 3.4456
5872.2500 3.4456
5872.5000 3.4456
5872.7500 3.4456
5873.0000 3.4456
5873.2500 3.4456
5873.5000 3.4456
5873.7500 3.4456
5874.0000 3.4456
5874.2500 3.4456
5874.5000 3.4456
5874.7500 3.4456
5875.0000 3.4456
5875.2500 3.4456
5875.5000 3.4456
5875.7500 3.4456
5876.0000 3.4456
5876.2500 3.4456
5876.5000 3.4456
5876.7500 3.4456
5877.0000 3.4456
5877.2500 3.4456
5877.5000 3.4456
5877.7500 3.4456
5878.0000 3.4456
5878.2500 3.4456
5878.5000 3.4456
5878.7500 3.4456
5879.0000 3.4456
5879.2500 3.4456
5879.5000 3.4456
5879.7500 3.4456
5880.0000 3.4456
5880.2500 3.4456
5880.5000 3.4456
5880.7500 3.4456
5881.0000 3.4456
5881.2500 3.4456
5881.5000 3.4456
5881.7500 3.4456
5882.0000 3.4456
5882.2500 3.4456
5882.5000 3.4456
5882.7500 3.4456
5883.0000 3.4456
5883.2500 3.4456
5883.5000 3.4456
5883.7500 3.4456
5884.0000 3.4456
5884.2500 3.4456
5884.5000 3.4456
5884.7500 3.4456
5885.0000 3.4456
5885.2500 3.4456
5885.5000 3.4456
5885.7500 3.4456
5886.0000 3.4456
5886.2500 3.4456
5886.5000 3.4456
5886.7500 3.4456
5887.0000 3.4456
5887.2500 3.4456
5887.5000 3.4456
5887.7500 3.4456
5888.0000 3.4456
5888.2500 3.4456
5888.5000 3.4456
5888.7500 3.4456
5889.0000 3.4456
5889.2500 3.4456
5889.5000 3.4456
5889.7500 3.4456
5890.0000 3.4456
5890.2500 3.4456
5890.5000 3.4456
5890.7500 3.4456
5891.0000 3.4456
5891.2500 3.4456
5891.5000 3.4456
5891.7500 3.4456
5892.0000 3.4456
5892.2500 3.4456
5892.5000 3.4456
5892.7500 3.4456
5893.0000 3.4456
5893.2500 3.4456
5893.5000 3.4456
5893.7500 3.4456
5894.0000 3.4456
5894.2500 3.4456
5894.5000 3.4456
5894.7500 3.4456
5895.0000 3.4456
5895.2500 3.4456
5895.5000 3.4456
5895.7500 3.4456
5896.0000 3.4456
5896.2500 3.4456
5896.5000 3.4456
5896.7500 3.4456
5897.0000 3.4456
5897.2500 3.4456
5897.5000 3.4456
5897.7500 3.4456
5898.0000 3.4456
5898.2500 3.4456
5898.5000 3.4456
5898.7500 3.4456
5899.0000 3.4456
5899.2500 3.4456
5899.5000 3.4456
5899.7500 3.4456
5900.0000 3.4456
5900.2500 3.4456
5900.5000 3.4456
5900.7500 3.4456
5901.0000 3.4456
5901.2500 3.4456
