RA,DEC,S/N,Z_ALF,Z_CALLUM,Z_APS,Z_LIT,Z_FINAL,Z_FINAL_ERR,FLAG_Z
239.717,26.8817,2.48477,0.0934496,0.0934496,0.0934496,0.0933900,0.0934347,2.97961e-05,3.00000
239.636,26.8414,8.24055,0.166404,0.166404,0.166404,0.166210,0.166356,9.70090e-05,3.00000
239.740,26.8012,1.46091,0.214253,0.214253,0.214253,0.214250,0.214252,1.43727e-06,3.00000
239.679,26.8691,6.42191,0.167140,-999.000,1.60346,0.167290,0.167215,0.000106063,2.00000
239.776,26.5028,7.83785,0.154128,0.154128,0.154128,-888.000,0.154128,1.30332e-07,3.00000
239.733,26.8412,1.12383,0.0873778,0.0873778,0.0873778,0.0873100,0.0873609,3.39001e-05,3.00000
239.746,26.5374,0.380129,0.0862332,0.0858000,0.423318,0.0859100,0.0859811,0.000225174,3.00000
239.685,26.8034,4.63092,0.165915,-999.000,0.165915,0.165880,0.165903,2.02089e-05,3.00000
239.864,26.3993,1.32433,0.343575,0.343575,0.343575,-888.000,0.343575,1.09501e-07,3.00000
239.734,26.7601,2.01670,0.0869948,0.0869948,0.0869948,0.0871600,0.0870361,8.25971e-05,3.00000
239.831,26.6700,2.40366,0.125183,-999.000,1.58708,-888.000,1.58708,0.00000,0.00000
239.659,26.6054,4.26311,0.0842882,0.0842882,0.0842882,-888.000,0.0842882,7.45058e-09,3.00000
239.891,26.3935,0.587107,-999.990,0.468512,0.468512,-888.000,0.468512,1.90828e-07,2.00000
239.805,26.4864,3.72791,-0.000409254,-0.000409254,-0.000409254,-888.000,-0.000409254,2.18763e-10,3.00000
239.738,26.6676,5.26780,0.0861882,-999.000,0.0861882,-888.000,0.0861882,0.00000,2.00000
239.587,26.8178,2.66400,0.123639,0.123639,0.123639,0.123800,0.123679,8.04317e-05,3.00000
239.614,26.6759,8.30965,0.0865511,0.0865511,0.0865511,0.0865600,0.0865533,4.45172e-06,3.00000
239.798,26.6116,5.57559,0.0975193,-999.000,0.0975193,0.0975700,0.0975362,2.92724e-05,3.00000
239.918,26.5297,3.26963,0.154487,-999.000,0.154487,-888.000,0.154487,0.00000,2.00000
239.735,26.5292,4.78454,0.0861335,0.0861335,0.0861335,0.0861300,0.0861326,1.75213e-06,3.00000
239.696,26.6278,5.16757,0.0861387,0.0861387,0.0861387,-888.000,0.0861387,1.74732e-08,3.00000
239.832,26.6072,2.22140,0.155627,-999.000,0.155627,0.155620,0.155625,4.04352e-06,3.00000
239.959,26.3531,2.79229,0.154312,-999.000,1.61627,0.154090,0.154201,0.000156976,2.00000
239.884,26.5905,3.80767,0.286700,0.286700,0.286700,-888.000,0.286700,3.65002e-08,3.00000
239.757,26.7178,2.68082,0.0965652,0.0965652,0.0965652,0.0966000,0.0965739,1.74021e-05,3.00000
239.935,26.4032,3.32074,0.0909050,0.0909050,0.0909050,-888.000,0.0909050,5.26836e-09,3.00000
239.936,26.4615,3.58391,0.208805,0.208805,0.208805,0.208770,0.208796,1.74497e-05,3.00000
239.966,26.4166,4.02824,0.0892034,-999.000,0.0892034,0.0892100,0.0892056,3.81121e-06,3.00000
239.880,26.4901,4.61122,0.217952,0.217952,0.217952,0.217920,0.217944,1.59281e-05,3.00000
239.551,26.7175,3.69088,0.0867013,0.0867013,0.0867013,0.0867000,0.0867010,6.51929e-07,3.00000
239.498,26.7613,5.10585,0.0869838,0.0868000,1.57079,0.0866100,0.0867979,0.000186910,3.00000
239.923,26.4964,6.86946,0.0907735,0.0907735,0.0907735,0.0907200,0.0907601,2.67451e-05,3.00000
239.577,26.4556,0.520324,-999.990,-999.000,0.434468,0.0860600,0.434468,0.00000,0.00000
239.487,26.7496,4.50436,0.227979,0.227979,0.227979,0.227770,0.227927,0.000104557,3.00000
239.532,26.7859,8.61771,0.0622672,-999.000,0.0622672,0.0622400,0.0622581,1.57030e-05,3.00000
239.556,26.7481,9.98760,0.0873903,-999.000,0.0873903,0.0872300,0.0873369,9.25531e-05,3.00000
239.618,26.4327,2.61710,0.215530,-999.000,0.215530,-888.000,0.215530,0.00000,2.00000
239.949,26.1327,-0.652374,-999.990,-999.000,1.53289,-888.000,1.53289,0.00000,0.00000
239.694,26.4142,13.4381,0.0870989,-999.000,0.0870989,0.0870300,0.0870759,3.97768e-05,3.00000
239.906,26.6134,5.73679,0.0499018,0.0499018,0.0499018,-888.000,0.0499018,2.17220e-08,3.00000
239.718,26.4258,3.56763,0.0894852,-999.000,0.0894852,0.0895400,0.0895035,3.16382e-05,3.00000
239.989,26.1336,7.99699,0.154794,-999.000,0.154794,0.154970,0.154853,0.000101621,3.00000
239.903,26.2686,-0.189707,-999.990,-999.000,3.73069,-888.000,3.73069,0.00000,0.00000
239.673,26.4143,2.86193,0.192251,0.192251,0.192251,0.192280,0.192258,1.44595e-05,3.00000
239.584,26.5278,4.40702,0.0882884,-999.000,0.0882884,0.0882900,0.0882889,9.24848e-07,3.00000
239.616,26.6401,5.13382,0.0847336,0.0860000,1.56486,0.0850300,0.0852545,0.000662388,3.00000
239.565,26.6512,4.61857,0.000513794,-99.0000,0.823060,-888.000,0.823060,0.00000,0.00000
239.933,26.2683,2.50893,0.119008,0.119008,0.119008,0.118900,0.118981,5.40692e-05,3.00000
240.063,26.1842,-0.317730,-999.990,-999.000,0.579564,-888.000,0.579564,0.00000,0.00000
239.806,26.4390,6.44573,0.0868285,0.0868285,0.0868285,0.0868800,0.0868414,2.57418e-05,3.00000
239.746,26.4400,3.69986,0.192462,0.192462,0.192462,0.192500,0.192471,1.90290e-05,3.00000
239.716,26.4884,3.55988,0.155907,-999.000,0.552102,0.155960,0.155933,3.74685e-05,2.00000
239.915,26.3383,3.19752,0.154179,0.154179,0.154179,0.154160,0.154174,9.56803e-06,3.00000
239.545,26.7026,6.39172,0.0922526,0.0922000,1.61466,0.0923700,0.0922742,8.70348e-05,3.00000
239.449,26.6332,3.69433,0.0863748,0.0863748,0.0863748,0.0864000,0.0863811,1.26064e-05,3.00000
239.487,26.5773,6.24797,0.0877349,-999.000,0.439101,0.0873200,0.0875275,0.000293379,2.00000
239.493,26.5038,3.39543,0.166334,-999.000,1.59746,-888.000,1.59746,0.00000,0.00000
239.805,26.4621,2.76690,0.0870621,0.0870621,0.0870621,0.0870800,0.0870666,8.94939e-06,3.00000
239.668,26.5593,6.18321,-0.000347370,-0.000347370,-0.000347370,-888.000,-0.000347370,3.56448e-11,3.00000
239.417,26.6089,4.68432,0.0906748,0.0906748,0.0906748,0.0906800,0.0906761,2.60026e-06,3.00000
239.615,26.6164,3.88928,0.0843176,-999.000,0.0843176,0.0843800,0.0843384,3.60259e-05,3.00000
239.752,26.5047,9.28784,0.0876044,0.0876044,0.0876044,0.0874700,0.0875708,6.71931e-05,3.00000
239.689,26.5764,4.42944,0.0872530,-999.000,0.0872530,-888.000,0.0872530,0.00000,2.00000
239.409,26.5471,-0.0217340,-999.990,-999.000,3.72987,-888.000,3.72987,0.00000,0.00000
239.451,26.4213,0.0972537,-999.990,-999.000,0.426303,-888.000,0.426303,0.00000,0.00000
239.368,26.5967,-0.203592,-999.990,-999.000,0.685394,-888.000,0.685394,0.00000,0.00000
239.477,26.5575,3.72357,0.0876032,0.0876032,0.0876032,0.0875700,0.0875949,1.65937e-05,3.00000
240.002,26.0658,9.97042,0.0905795,0.0905795,0.0905795,0.0906300,0.0905921,2.52513e-05,3.00000
239.665,26.3145,3.40759,0.339555,-999.000,0.339555,0.339560,0.339557,2.89067e-06,3.00000
239.870,26.1474,3.15960,0.251721,-999.000,0.251721,0.251720,0.251721,5.67811e-07,3.00000
240.220,25.9411,9.81529,0.0492687,0.0492687,0.0492687,0.0492900,0.0492740,1.06506e-05,3.00000
239.814,26.2342,3.63977,0.175680,-999.000,0.175680,0.175590,0.175650,5.19633e-05,3.00000
240.062,26.1292,5.40127,0.000275818,-999.000,0.000275818,-8.00000e-05,0.000157212,0.000205432,3.00000
240.149,26.1225,1.55183,-999.990,-99.0000,0.555703,-888.000,0.555703,0.00000,0.00000
239.340,26.5793,-0.0148948,-999.990,-999.000,3.75572,-888.000,3.75572,0.00000,0.00000
240.033,26.1604,2.22651,0.167589,0.167589,0.167589,0.167650,0.167604,3.05076e-05,3.00000
239.619,26.3703,1.97786,0.0764797,-999.000,0.0764797,-888.000,0.0764797,0.00000,2.00000
239.748,26.2887,-0.678989,-999.990,-999.000,1.05085,-888.000,1.05085,0.00000,0.00000
239.989,26.1963,4.30521,0.0861728,0.0861728,0.0861728,0.0861300,0.0861621,2.13956e-05,3.00000
239.591,26.4330,5.31473,0.0854812,0.0854812,0.0854812,0.0854500,0.0854734,1.56015e-05,3.00000
239.379,26.4294,6.67037,0.167080,0.167080,0.167080,-888.000,0.167080,6.05288e-08,3.00000
239.309,26.4817,19.8131,0.0720895,0.0720895,0.0720895,0.0721100,0.0720946,1.02495e-05,3.00000
239.330,26.3580,2.44111,0.133749,-999.000,0.133749,-888.000,0.133749,0.00000,2.00000
239.707,26.3753,8.13883,0.0865622,-999.000,0.0865622,-888.000,0.0865622,0.00000,2.00000
239.452,26.5164,5.99473,0.0902192,0.0902192,0.0902192,0.0902300,0.0902219,5.40416e-06,3.00000
239.555,26.2327,6.32795,0.118589,0.118589,0.118589,0.118750,0.118629,8.04961e-05,3.00000
239.678,26.1767,0.206567,-999.990,-999.000,0.0507351,-888.000,0.0507351,0.00000,0.00000
239.316,26.5029,3.62917,0.0849637,-999.000,0.0849637,-888.000,0.0849637,0.00000,2.00000
239.487,26.3071,1.47643,-999.990,-999.000,1.56205,-888.000,1.56205,0.00000,0.00000
239.243,26.4878,7.76555,0.153970,-999.000,0.153970,-888.000,0.153970,0.00000,2.00000
239.529,26.4771,4.65087,0.165653,-999.000,0.165653,-888.000,0.165653,0.00000,2.00000
239.654,26.2537,1.06771,-999.990,-99.0000,1.57270,-888.000,1.57270,0.00000,0.00000
239.338,26.3353,6.81867,0.0921382,-999.000,0.0921382,0.0921200,0.0921321,1.05088e-05,3.00000
239.261,26.3914,-0.0344137,-999.990,-999.000,0.405309,-888.000,0.405309,0.00000,0.00000
239.602,26.3139,2.69502,0.209811,-999.000,0.209811,0.209840,0.209821,1.67418e-05,3.00000
239.708,26.2452,0.187042,-999.990,-999.000,0.0998059,-888.000,0.0998059,0.00000,0.00000
239.478,26.3485,3.26919,0.361251,0.361251,0.361251,-888.000,0.361251,2.10734e-08,3.00000
239.372,26.4132,11.5529,0.0780107,0.0780000,1.56872,0.0777200,0.0779102,0.000164834,3.00000
239.191,26.4020,2.02179,-999.990,-99.0000,0.477011,-888.000,0.477011,0.00000,0.00000
239.207,26.3691,0.384112,-999.990,-999.000,0.555402,-888.000,0.555402,0.00000,0.00000
239.293,26.3492,1.96888,-0.000441599,-99.0000,-0.000441599,-888.000,-0.000441599,0.00000,2.00000
239.289,26.3147,4.42764,0.0885295,0.0885295,0.0885295,0.0884700,0.0885146,2.97539e-05,3.00000
239.342,26.3057,14.9896,0.0847336,0.0850000,1.56543,0.0848400,0.0848579,0.000134097,3.00000
239.284,26.4701,2.62592,0.214162,-999.000,0.214162,-888.000,0.214162,0.00000,2.00000
239.164,26.3493,3.24179,0.0793896,-999.000,0.0793896,-888.000,0.0793896,0.00000,2.00000
239.318,26.4505,-0.0913298,-999.990,-999.000,3.71281,-888.000,3.71281,0.00000,0.00000
239.208,26.2492,0.470512,-999.990,-999.000,0.445597,-888.000,0.445597,0.00000,0.00000
239.271,26.2861,6.21427,0.294549,-999.000,0.294549,-888.000,0.294549,0.00000,2.00000
239.630,26.1663,1.08638,0.224034,-999.000,0.224034,-888.000,0.224034,0.00000,2.00000
239.328,26.2266,4.01624,0.147076,0.147076,0.147076,-888.000,0.147076,7.95504e-08,3.00000
239.401,26.2691,3.58771,0.215144,0.215144,0.215144,0.214980,0.215103,8.19367e-05,3.00000
239.417,26.2828,11.0037,0.0843037,-999.000,0.0843037,-888.000,0.0843037,0.00000,2.00000
239.216,26.1489,2.68622,0.0801023,-999.000,0.0801023,-888.000,0.0801023,0.00000,2.00000
239.146,26.2624,3.49172,0.0765224,-999.000,0.476203,-888.000,0.476203,0.00000,0.00000
239.301,26.2557,1.59553,-999.990,-99.0000,1.61455,-888.000,1.61455,0.00000,0.00000
239.194,26.2856,8.70212,0.0786667,0.0786667,0.0786667,0.0786900,0.0786725,1.16540e-05,3.00000
239.585,26.0301,3.89358,0.119449,0.119449,0.119449,0.119510,0.119464,3.04570e-05,3.00000
239.146,26.2449,11.3816,0.0766746,-999.000,0.0766746,0.0768600,0.0767364,0.000107041,3.00000
239.213,26.3323,5.84900,0.166201,-999.000,0.166201,-888.000,0.166201,0.00000,2.00000
239.144,26.2305,1.13272,0.282119,-999.000,0.282119,-888.000,0.282119,0.00000,2.00000
239.707,26.0490,4.78108,0.0885769,0.0885769,0.0885769,-888.000,0.0885769,1.29048e-08,3.00000
239.135,26.1710,-0.0419022,-999.990,-99.0000,0.423253,-888.000,0.423253,0.00000,0.00000
239.433,26.1737,7.44682,0.147158,0.147000,1.61610,-888.000,0.147079,0.000111721,2.00000
239.370,26.1497,0.926205,0.224117,0.224000,1.51997,-888.000,0.224059,8.27237e-05,2.00000
239.512,26.1765,6.34376,0.147950,0.147400,1.57472,-888.000,0.147675,0.000388899,2.00000
239.870,26.1053,1.11540,0.158305,0.158766,0.158766,0.611100,0.158612,0.000266157,3.00000
239.158,26.1477,0.446067,-999.990,-99.0000,3.97352,-888.000,3.97352,0.00000,0.00000
239.240,26.2172,-0.00942617,-999.990,-999.000,1.56863,-888.000,1.56863,0.00000,0.00000
239.717,26.1356,9.84620,0.0324092,0.0324092,0.0324092,0.0324000,0.0324069,4.60074e-06,3.00000
239.563,26.0684,0.149437,-999.990,-999.000,3.99262,-888.000,3.99262,0.00000,0.00000
239.323,26.0396,3.78513,0.0721673,-999.000,0.0721673,-888.000,0.0721673,0.00000,2.00000
239.487,26.1938,-0.0153722,-999.990,-999.000,0.438555,-888.000,0.438555,0.00000,0.00000
239.778,26.0590,6.26117,0.0467033,0.0467033,0.0467033,0.0466300,0.0466850,3.66587e-05,3.00000
239.428,26.2089,0.218318,-999.990,-99.0000,3.92251,-888.000,3.92251,0.00000,0.00000
239.376,26.0451,0.945706,-999.990,-99.0000,0.400496,-888.000,0.400496,0.00000,0.00000
239.268,26.1338,2.83649,0.0764578,-999.000,0.0764578,0.0765600,0.0764919,5.90050e-05,3.00000
239.306,26.0753,4.26295,0.0940352,-99.0000,0.0940352,0.0939700,0.0940135,3.76433e-05,3.00000
239.955,26.0799,12.8241,0.0912398,0.0912398,0.0912398,0.0912300,0.0912373,4.89508e-06,3.00000
239.909,26.0637,1.48674,0.240055,0.240055,0.240055,0.240100,0.240066,2.25686e-05,3.00000
239.351,25.9195,7.47649,0.0726847,0.0726847,0.0726847,0.0726900,0.0726860,2.65616e-06,3.00000
239.434,26.0767,0.846835,-999.990,-999.000,1.45427,-888.000,1.45427,0.00000,0.00000
239.196,26.1143,5.03195,0.192891,-999.000,0.192891,0.932750,0.192891,0.00000,2.00000
239.808,26.0805,-0.274519,-999.990,-999.000,0.595815,-888.000,0.595815,0.00000,0.00000
239.936,26.0945,6.17834,0.0714197,-999.000,0.0714197,0.0715000,0.0714465,4.63626e-05,3.00000
239.663,26.1253,1.95366,0.250632,0.250632,0.250632,-888.000,0.250632,2.58096e-07,3.00000
239.781,26.1083,3.35811,0.156234,-999.000,0.156234,-888.000,0.156234,0.00000,2.00000
239.098,26.0798,27.9646,6.13069e-05,-999.000,6.13069e-05,0.000120000,8.08713e-05,3.38865e-05,3.00000
239.134,26.0624,-0.284593,-999.990,-999.000,1.05096,-888.000,1.05096,0.00000,0.00000
239.561,26.1353,6.62100,0.0952748,-999.000,0.200020,0.0953900,0.0953324,8.14593e-05,2.00000
239.187,25.9207,14.8136,0.0690343,0.0690343,0.0690343,0.0690600,0.0690407,1.28448e-05,3.00000
239.437,25.9288,5.39008,0.0431398,0.0431398,0.0431398,0.0431400,0.0431398,1.10091e-07,3.00000
239.433,25.8970,6.71339,0.0795011,0.0788000,0.414524,0.0791300,0.0791437,0.000350750,3.00000
239.583,25.9802,2.69612,0.223112,-999.000,0.223112,0.223130,0.223118,1.03927e-05,3.00000
239.255,25.9355,5.60346,0.0719090,0.0719090,0.0719090,0.0719500,0.0719193,2.04941e-05,3.00000
239.184,26.0091,0.416585,-999.990,-999.000,0.449767,-888.000,0.449767,0.00000,0.00000
239.457,25.9431,-0.786376,-999.990,-999.000,1.56222,-888.000,1.56222,0.00000,0.00000
239.770,25.9954,2.99714,0.193449,-999.000,0.193449,0.193530,0.193476,4.67583e-05,3.00000
239.243,26.0303,1.60830,0.449218,-99.0000,0.449218,-888.000,0.449218,0.00000,2.00000
239.112,26.0419,0.874771,0.310622,0.310622,0.310622,-888.000,0.310622,3.65002e-08,3.00000
239.451,25.9602,0.390695,0.0430884,0.0430884,0.0430884,-888.000,0.0430884,1.53598e-08,3.00000
239.114,25.9233,4.87704,0.0742933,-999.000,0.0742933,0.0743400,0.0743089,2.69624e-05,3.00000
239.820,26.0215,0.0802430,-999.990,-999.000,3.92697,-888.000,3.92697,0.00000,0.00000
240.148,26.0635,12.0222,0.0885970,-999.000,0.0885970,-888.000,0.0885970,0.00000,2.00000
239.293,25.8728,4.00101,0.0702503,0.0702503,0.0702503,0.0702500,0.0702502,1.54019e-07,3.00000
239.096,25.9069,5.64209,-999.990,0.0733000,1.56895,0.0732300,0.0732650,4.94962e-05,2.00000
239.422,26.0112,1.18240,-999.990,-99.0000,0.485095,-888.000,0.485095,0.00000,0.00000
239.413,25.9773,1.37673,-999.990,-999.000,3.94550,-888.000,3.94550,0.00000,0.00000
239.318,25.9760,12.1066,0.0711528,0.0711528,0.0711528,0.0710500,0.0711271,5.13991e-05,3.00000
239.249,25.8941,3.66493,0.0724986,-999.000,0.0724986,0.0725000,0.0724991,8.08706e-07,3.00000
239.154,25.9003,8.75447,0.0634114,-999.000,0.0634114,0.0632900,0.0633709,7.00902e-05,3.00000
239.209,26.0587,5.72419,0.154270,0.154270,0.154270,0.154110,0.154230,7.99969e-05,3.00000
239.102,25.8757,19.4094,0.0743491,-999.000,0.0743491,0.0741300,0.0742761,0.000126497,3.00000
239.455,26.0361,2.02313,-999.990,-99.0000,-4.43599e-05,-888.000,-4.43599e-05,0.00000,0.00000
239.344,26.0289,7.70384,0.0805975,0.0805975,0.0805975,0.0805800,0.0805931,8.75321e-06,3.00000
239.247,25.8581,3.64564,0.0709027,-999.000,0.0709027,0.0709500,0.0709185,2.73108e-05,3.00000
239.290,26.0306,5.27287,0.000183668,-999.000,0.000183668,0.000210000,0.000192445,1.52028e-05,3.00000
239.150,25.8387,4.42974,0.0734747,0.0734747,0.0734747,-888.000,0.0734747,1.29048e-08,3.00000
239.154,25.8649,0.762441,0.354819,0.354819,0.354819,-888.000,0.354819,5.16191e-08,3.00000
239.372,25.8487,2.33632,0.0700119,-999.000,0.0700119,0.0700300,0.0700179,1.04486e-05,3.00000
239.223,25.7803,1.35570,-999.990,0.335749,0.335749,-888.000,0.335749,1.26441e-07,2.00000
239.280,25.7976,1.19547,-999.990,0.0695000,1.56458,-888.000,1.56458,0.00000,0.00000
239.220,25.8279,0.190179,-999.990,-999.000,0.446685,-888.000,0.446685,0.00000,0.00000
239.595,25.7016,4.60999,0.0719332,-999.000,0.0719332,0.0719600,0.0719421,1.54728e-05,3.00000
239.378,25.8733,4.69930,0.119755,-999.000,0.553141,0.119500,0.119627,0.000180315,2.00000
239.547,25.6937,3.52581,0.0894682,-999.000,0.0894682,0.0894700,0.0894688,1.03669e-06,3.00000
239.309,25.8184,21.8770,-0.000171497,-0.000171497,-0.000171497,-0.000220000,-0.000183623,2.42515e-05,3.00000
239.257,25.8209,0.651791,-999.990,-99.0000,0.106910,0.726910,0.106910,0.00000,0.00000
239.120,25.8084,7.19223,0.0716379,-999.000,0.0716379,0.0716400,0.0716386,1.21305e-06,3.00000
239.732,25.7782,2.19300,0.112317,0.112317,0.112317,0.112260,0.112303,2.84358e-05,3.00000
239.831,25.7986,14.0414,0.000106278,-999.000,0.000106278,-888.000,0.000106278,0.00000,2.00000
239.647,25.7183,-0.111675,-999.990,-999.000,0.158079,-888.000,0.158079,0.00000,0.00000
239.916,25.8674,-0.00257257,-999.990,-999.000,0.573092,-888.000,0.573092,0.00000,0.00000
239.511,25.7227,3.52790,0.258717,-999.000,0.258717,0.258720,0.258718,1.73789e-06,3.00000
239.690,25.7991,1.93064,0.0896439,0.0896439,0.0896439,0.0896200,0.0896379,1.19445e-05,3.00000
239.121,25.7719,3.85364,0.154507,0.154507,0.154507,-888.000,0.154507,1.20598e-07,3.00000
239.561,25.7461,0.293039,0.156259,-999.000,0.156259,-888.000,0.156259,0.00000,2.00000
239.159,25.7543,11.6499,0.0722070,0.0722070,0.0722070,-888.000,0.0722070,2.17220e-08,3.00000
240.066,25.9843,4.61652,0.0652710,0.0652710,0.0652710,0.0652400,0.0652632,1.54935e-05,3.00000
239.781,25.8291,3.20205,0.129076,-99.0000,1.56260,0.129050,0.129063,1.83866e-05,2.00000
239.834,25.9071,2.83492,0.196404,-999.000,0.196404,-888.000,0.196404,0.00000,2.00000
240.050,26.0239,10.1633,0.0904428,0.0904428,0.0904428,0.0904200,0.0904371,1.13957e-05,3.00000
239.817,25.9335,1.59953,0.297673,0.297673,0.297673,-888.000,0.297673,2.06477e-07,3.00000
240.057,25.9984,0.396268,-999.990,0.0448000,0.436649,-888.000,0.436649,0.00000,0.00000
239.610,25.8369,4.94613,0.0707986,0.0707986,0.0707986,0.0708500,0.0708114,2.57082e-05,3.00000
239.964,25.9146,8.74959,0.0445123,0.0445123,0.0445123,0.0445000,0.0445092,6.15419e-06,3.00000
240.021,26.0294,9.67383,0.0907876,0.0907876,0.0907876,0.0907900,0.0907882,1.19484e-06,3.00000
239.351,25.6484,4.64495,0.148744,0.148500,1.61407,0.148240,0.148495,0.000252043,3.00000
239.718,25.8611,12.9541,0.0720138,0.0720138,0.0720138,0.0719200,0.0719903,4.68940e-05,3.00000
239.224,25.6813,5.30651,0.0457385,0.0455000,1.64570,0.0456000,0.0456128,0.000119767,3.00000
239.547,25.9053,-0.183965,-999.990,-999.000,0.439183,-888.000,0.439183,0.00000,0.00000
239.497,25.8683,2.31540,0.0791513,0.0791513,0.0791513,0.0791000,0.0791385,2.56449e-05,3.00000
239.888,26.0111,-0.229516,-999.990,-999.000,3.69509,-888.000,3.69509,0.00000,0.00000
239.337,25.8169,2.66524,0.0728299,0.0728299,0.0728299,0.0728200,0.0728274,4.94473e-06,3.00000
239.925,26.0143,13.4731,0.0881422,0.0881422,0.0881422,0.0879700,0.0880992,8.60927e-05,3.00000
239.654,25.9268,4.58658,0.0457683,-999.000,0.0457683,0.0457400,0.0457589,1.63375e-05,3.00000
239.345,25.6725,0.485896,0.216129,-999.000,0.216129,-888.000,0.216129,0.00000,2.00000
239.591,25.9069,4.02897,0.0719778,0.0719778,0.0719778,0.0719600,0.0719734,8.90470e-06,3.00000
239.195,25.6541,4.39260,0.185690,-999.000,0.185690,-888.000,0.185690,0.00000,2.00000
239.283,25.6712,0.0431113,-999.990,-999.000,0.114998,-888.000,0.114998,0.00000,0.00000
239.632,25.9813,3.31140,0.0485219,0.0485219,0.0485219,0.0485200,0.0485214,9.46282e-07,3.00000
239.196,25.6016,0.679046,0.196871,-999.000,0.196871,-888.000,0.196871,0.00000,2.00000
239.247,25.6144,0.439635,0.0977593,-999.000,0.0977593,-888.000,0.0977593,0.00000,2.00000
239.212,25.5825,2.70098,-999.990,-99.0000,1.56154,-888.000,1.56154,0.00000,0.00000
239.256,25.6848,1.00524,0.348120,0.348120,0.348120,-888.000,0.348120,1.72493e-07,3.00000
239.404,25.5565,1.09583,0.442598,-99.0000,0.442598,-888.000,0.442598,0.00000,2.00000
239.597,25.6177,2.98295,0.0793028,0.0793028,0.0793028,0.0793400,0.0793121,1.86066e-05,3.00000
239.227,25.5427,10.9102,0.164792,0.164792,0.164792,0.164470,0.164712,0.000161057,3.00000
239.509,25.6405,1.64560,0.300020,0.300020,0.300020,0.300020,0.300020,1.50002e-07,3.00000
239.211,25.5652,2.07932,0.0640997,0.0640997,0.0640997,0.0640900,0.0640973,4.85158e-06,3.00000
239.284,25.5942,-0.00109171,-999.990,-999.000,0.419374,-888.000,0.419374,0.00000,0.00000
239.516,25.5677,0.828498,-999.990,-99.0000,0.558757,-888.000,0.558757,0.00000,0.00000
239.299,25.5471,3.02936,0.000251403,-999.000,0.000251403,0.000110000,0.000204269,8.16391e-05,3.00000
239.410,25.5792,2.28820,0.199033,0.199033,0.199033,0.198970,0.199017,3.15536e-05,3.00000
239.429,25.6715,2.58532,0.327195,-999.000,0.327195,0.327210,0.327200,8.67201e-06,3.00000
239.322,25.4639,0.191332,-999.990,-999.000,0.0507626,-888.000,0.0507626,0.00000,0.00000
239.321,25.6015,2.71985,0.163573,0.163573,0.163573,0.163710,0.163607,6.85430e-05,3.00000
239.462,25.6430,5.78768,0.147158,-999.000,1.58206,0.147240,0.147199,5.79835e-05,2.00000
239.551,25.6227,2.02759,0.161509,-999.000,0.161509,-888.000,0.161509,0.00000,2.00000
239.318,25.4976,4.18213,0.154754,-999.000,0.154754,0.154800,0.154769,2.65580e-05,3.00000
239.522,25.6243,4.44379,0.160280,-999.000,0.160280,0.160270,0.160277,5.77274e-06,3.00000
239.299,25.4358,5.41643,0.206260,0.206260,0.206260,0.206230,0.206252,1.49322e-05,3.00000
239.416,25.4560,2.04642,0.262767,-999.000,1.57245,0.262370,0.262568,0.000280719,2.00000
239.445,25.6608,11.0958,0.0891523,0.0891523,0.0891523,0.0890800,0.0891342,3.61515e-05,3.00000
240.133,25.8551,9.43135,-0.000328486,-0.000328486,-0.000328486,-888.000,-0.000328486,2.69112e-10,3.00000
239.344,25.4609,0.377875,0.205780,0.205780,0.205780,-888.000,0.205780,2.84491e-07,3.00000
