NSPEC,TARGID,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,sep_arcsec,FLAG_Z,Z_FINAL
5,A2142-2538,239.4519037,26.5164597,239.452,26.5164,0.3773880829098887,3.0,0.0902219
6,A2142-2649,239.5912847,26.4329971,239.591,26.433,0.9178296608983944,3.0,0.0854734
8,A2142-7614,239.9890324,26.1963247,239.989,26.1963,0.1373331122655979,3.0,0.0861621
11,A2142-2537,239.4771412,26.5575165,239.477,26.5575,0.4585487417548175,3.0,0.0875949
16,A2142-2648,239.6885365,26.5764398,239.689,26.5764,1.4991557290799564,2.0,0.087253
17,A2142-2766,239.7066373,26.3753764,239.707,26.3753,1.2016969826630075,2.0,0.0865622
24,A2142-7628,240.0017109,26.0657349,240.002,26.0658,0.9638315094517051,3.0,0.0905921
26,A2142-2453,239.448743,26.6331131,239.449,26.6332,0.8842229249553688,3.0,0.0863811
27,A2142-8587,239.544911,26.7026441,239.545,26.7026,0.327310439726488,3.0,0.0922742
28,A2142-2550,239.5836791,26.527825,239.584,26.5278,1.03752452606609,3.0,0.0882889
29,A2142-2768,239.8061429,26.4389617,239.806,26.439,0.4808271922533458,3.0,0.0868414
30,A2142-2658,239.7519866,26.5047543,239.752,26.5047,0.2001900771794745,3.0,0.0875708
35,A2142-2560,239.6145668,26.6163775,239.615,26.6164,1.3966025145841237,3.0,0.0843384
37,A2142-2536,239.4864481,26.5772419,239.487,26.5773,1.789162043373467,2.0,0.0875275
41,A2142-2783,239.805189,26.462092,239.805,26.4621,0.6097945258321187,3.0,0.0870666
47,A2142-2443,239.4168843,26.6089573,239.417,26.6089,0.4257184734168114,3.0,0.0906761
48,A2142-2528,239.6158242,26.6401432,239.616,26.6401,0.5866821103598873,3.0,0.0852545
49,A2142-3948,239.71672,26.8817446,239.717,26.8817,0.9133014790117993,3.0,0.0934347
51,A2142-3959,239.7330459,26.8411431,239.733,26.8412,0.2523830122626977,3.0,0.0873609
55,A2142-8593,239.6138098,26.6759421,239.614,26.6759,0.6303306922145137,3.0,0.0865533
58,A2142-2728,239.7461646,26.5373988,239.746,26.5374,0.5301472092222368,3.0,0.0859811
59,A2142-2644,239.6589388,26.6053741,239.659,26.6054,0.2179428069645538,3.0,0.0842882
64,A2142-8710,239.738418,26.6676404,239.738,26.6676,1.3525693778183308,2.0,0.0861882
65,A2142-8686,239.7337274,26.7601222,239.734,26.7601,0.8798929062824399,3.0,0.0870361
71,A2142-2664,239.7349443,26.5291816,239.735,26.5292,0.1912445475780536,3.0,0.0861326
75,A2142-2892,239.9664706,26.4165248,239.966,26.4166,1.5412238429523015,3.0,0.0892056
77,A2142-5379,239.5556863,26.748167,239.556,26.7481,1.0369186815984437,3.0,0.0873369
80,A2142-2669,239.7176835,26.425842,239.718,26.4258,1.0314875220166562,3.0,0.0895035
81,A2142-2907,239.9352105,26.4031735,239.935,26.4032,0.6854231799386011,3.0,0.090905
85,A2142-8709,239.6959318,26.627711,239.696,26.6278,0.3883650302985503,3.0,0.0861387
92,A2142-2659,239.6944283,26.4142223,239.694,26.4142,1.3832415563050806,3.0,0.0870759
93,A2142-8586,239.550892,26.7175172,239.551,26.7175,0.3527662267633734,3.0,0.086701
94,A2142-8874,239.9230876,26.4963629,239.923,26.4964,0.3122420327367668,3.0,0.0907601
95,A2142-4147,239.4979537,26.7612343,239.498,26.7613,0.2794479891850022,3.0,0.0867979
107,A2142-7622,239.9550985,26.0799308,239.955,26.0799,0.3372441177786985,3.0,0.0912373
109,A2142-6138,239.3057901,26.0752398,239.306,26.0753,0.7124890086991315,3.0,0.0940135
131,A2142-7243,239.3383497,26.3352846,239.338,26.3353,1.1296221742938108,3.0,0.0921321
133,A2142-7166,239.3156116,26.5028903,239.316,26.5029,1.2517886553591775,2.0,0.0849637
135,A2142-1156,239.2889821,26.3146407,239.289,26.3147,0.2211564843899952,3.0,0.0885146
143,A2142-1161,239.3418792,26.3057251,239.342,26.3057,0.4001798374821417,3.0,0.0848579
146,A2142-1425,239.7069283,26.0489288,239.707,26.049,0.3456552076420309,3.0,0.0885769
147,A2142-7236,239.416542,26.2828422,239.417,26.2828,1.4861312112426674,2.0,0.0843037
174,A2142-7723,240.1476628,26.0635514,240.148,26.0635,1.1060614871722678,2.0,0.088597
193,A2142-4197,239.8339761,26.895839,239.834,26.8958,0.1600004017647151,3.0,0.0864377
195,A2142-4174,239.7728806,26.8900754,239.773,26.8901,0.3934599660727071,3.0,0.0945095
196,A2142-8754,239.881285,26.6876629,239.881,26.6877,0.9263766782879116,3.0,0.0897412
197,A2142-9026,240.0426794,26.5148298,240.043,26.5149,1.063234905785883,3.0,0.094273
202,A2142-8707,239.7820424,26.7626213,239.782,26.7626,0.1563795489053793,3.0,0.0860944
