NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
5,A2142-2538,18.5488,19.5135,9.647835731506348,2.458303928375244,239.4519037,26.5164597,239.452,26.5164,3.0,0.0902219
6,A2142-2649,19.2129,19.9198,7.643599510192871,3.106400966644287,239.5912847,26.4329971,239.591,26.433,3.0,0.0854734
8,A2142-7614,18.8543,19.4835,6.226874828338623,2.47681188583374,239.9890324,26.1963247,239.989,26.1963,3.0,0.0861621
11,A2142-2537,19.4497,20.3764,5.592811584472656,1.752431869506836,239.4771412,26.5575165,239.477,26.5575,3.0,0.0875949
16,A2142-2648,19.383,20.2359,6.668150424957275,2.247275352478028,239.6885365,26.5764398,239.689,26.5764,2.0,0.087253
17,A2142-2766,18.77,19.7173,12.200872421264648,4.229531288146973,239.7066373,26.3753764,239.707,26.3753,2.0,0.0865622
24,A2142-7628,18.4453,19.2092,13.802515029907228,6.443246364593506,240.0017109,26.0657349,240.002,26.0658,3.0,0.0905921
26,A2142-2453,19.6509,20.0094,4.549573421478272,2.853135824203491,239.448743,26.6331131,239.449,26.6332,3.0,0.0863811
27,A2142-8587,18.9613,19.791,9.210698127746582,3.872446775436402,239.544911,26.7026441,239.545,26.7026,3.0,0.0922742
28,A2142-2550,19.3622,20.204,6.671457290649414,2.1824231147766118,239.5836791,26.527825,239.584,26.5278,3.0,0.0882889
29,A2142-2768,18.8829,19.8698,9.43881607055664,3.411403179168701,239.8061429,26.4389617,239.806,26.439,3.0,0.0868414
30,A2142-2658,18.6134,19.6033,13.679458618164062,4.985693454742432,239.7519866,26.5047543,239.752,26.5047,3.0,0.0875708
35,A2142-2560,19.6753,20.5362,5.918680667877197,1.856460690498352,239.6145668,26.6163775,239.615,26.6164,3.0,0.0843384
37,A2142-2536,18.8861,19.8017,9.703653335571287,3.196829080581665,239.4864481,26.5772419,239.487,26.5773,2.0,0.0875275
