NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
2,A2142-7641,19.8666,20.752,3.6361401081085205,0.9405618906021118,240.0332715,26.1604398,240.033,26.1604,3.0,0.167604
3,A2142-7518,19.717,20.206,4.765439510345459,2.504293918609619,239.8143655,26.2340998,239.814,26.2342,3.0,0.17565
4,A2142-7240,19.0161,19.8856,10.27306842803955,3.4371697902679443,239.3788096,26.4294275,239.379,26.4294,3.0,0.16708
5,A2142-2538,18.5488,19.5135,9.647835731506348,2.458303928375244,239.4519037,26.5164597,239.452,26.5164,3.0,0.0902219
6,A2142-2649,19.2129,19.9198,7.643599510192871,3.106400966644287,239.5912847,26.4329971,239.591,26.433,3.0,0.0854734
8,A2142-7614,18.8543,19.4835,6.226874828338623,2.4768118858337402,239.9890324,26.1963247,239.989,26.1963,3.0,0.0861621
9,A2142-7515,19.7376,20.7539,5.032977104187012,1.4401427507400513,239.8695632,26.1473137,239.87,26.1474,3.0,0.251721
11,A2142-2537,19.4497,20.3764,5.592811584472656,1.752431869506836,239.4771412,26.5575165,239.477,26.5575,3.0,0.0875949
12,A2142-7167,17.2588,17.9972,26.771785736083984,14.01382827758789,239.3091667,26.4817328,239.309,26.4817,3.0,0.0720946
16,A2142-2648,19.383,20.2359,6.668150424957275,2.2472753524780273,239.6885365,26.5764398,239.689,26.5764,2.0,0.087253
17,A2142-2766,18.77,19.7173,12.200872421264648,4.229531288146973,239.7066373,26.3753764,239.707,26.3753,2.0,0.0865622
18,A2142-3127,19.9231,20.8277,2.470353603363037,0.6334060430526733,240.1489829,26.1225404,240.149,26.1225,0.0,0.555703
19,A2142-7818,18.1985,19.0173,13.912336349487305,6.293828010559082,240.220231,25.9410949,240.22,25.9411,3.0,0.049274
21,A2142-7348,19.9344,20.3039,2.624338388442993,1.227791428565979,239.6195047,26.3703157,239.619,26.3703,2.0,0.0764797
22,A2142-7248,19.8972,20.5808,3.602503776550293,1.3186284303665161,239.330421,26.3579834,239.33,26.358,2.0,0.133749
23,A2142-7433,20.1806,20.9384,4.658371925354004,1.8062483072280884,239.6645929,26.3145263,239.665,26.3145,3.0,0.339557
24,A2142-7628,18.4453,19.2092,13.802515029907227,6.443246364593506,240.0017109,26.0657349,240.002,26.0658,3.0,0.0905921
25,A2142-2666,19.6561,20.6275,5.825307846069336,1.591223120689392,239.715575,26.4883556,239.716,26.4884,2.0,0.155933
26,A2142-2453,19.6509,20.0094,4.5495734214782715,2.853135824203491,239.448743,26.6331131,239.449,26.6332,3.0,0.0863811
27,A2142-8587,18.9613,19.791,9.210698127746582,3.8724467754364014,239.544911,26.7026441,239.545,26.7026,3.0,0.0922742
